regulation_id,scope_type,scope_value,category,summary,detail,citation,source_url,source_last_updated,verified_date,log_entry_ids,scope_display
desolation-natural-features,permit_group,desolation,natural_features,Damaging or removing any natural feature is prohibited.,Photograph what you find and leave it for others.,,https://www.recreation.gov/permits/233261,,2026-09-12,desolation-2026-09-12-01; desolation-2026-09-12-02; desolation-2026-09-12-03; desolation-2026-09-12-09; desolation-2026-09-12-10; desolation-2026-09-12-12; desolation-2026-09-12-13,
desolation-commercial,permit_group,desolation,commercial,Commercial use may be prohibited or require a special use permit.,Charging a fee to lead a group into the wilderness counts as outfitting and guiding and needs a special use permit -- contact a Forest Service office.,,https://www.recreation.gov/permits/233261,,2026-09-12,desolation-2026-09-12-01; desolation-2026-09-12-02; desolation-2026-09-12-03; desolation-2026-09-12-09; desolation-2026-09-12-10; desolation-2026-09-12-12; desolation-2026-09-12-13,
desolation-water,permit_group,desolation,water,"Treat all water by boiling, filtering, or purification tablets.",,,https://www.recreation.gov/permits/233261,,2026-09-12,desolation-2026-09-12-01; desolation-2026-09-12-02; desolation-2026-09-12-03; desolation-2026-09-12-09; desolation-2026-09-12-10; desolation-2026-09-12-12; desolation-2026-09-12-13,
desolation-fishing,permit_group,desolation,fishing,State fish and game laws apply -- a wilderness permit is not a fishing licence.,"This is the whole of what the permit page says on the subject: it defers to California fish and game law without restating any of it. Season, limits, gear and licensing are set by the California Department of Fish and Wildlife and are not captured in this project, so check CDFW directly rather than treating this row as the rule.",,https://www.recreation.gov/permits/233261,,2026-09-12,desolation-2026-09-12-01; desolation-2026-09-12-02; desolation-2026-09-12-03; desolation-2026-09-12-09; desolation-2026-09-12-10; desolation-2026-09-12-12; desolation-2026-09-12-13,
eldorado-firewood-gathering,agency,eldorado_nf,fire,"You may gather downed firewood while camping without a permit, but may not cut any tree, and may not take gathered wood home.","Bringing firewood from outside the forest is prohibited, because it transports non-native pests. Buy it from the camp host or from a grocery store, where it is vetted pest-free. This permits the gathering, not the fire: Desolation and Mokelumne both ban campfires outright, and the statewide campfire permit is still required for a stove or lantern.",,https://www.fs.usda.gov/r05/eldorado/about-area/faqs,2026-06-12,2026-09-12,none-2026-09-12-01; none-2026-09-12-02; none-2026-09-12-03; none-2026-09-12-04,Eldorado National Forest
eldorado-dog-leash,agency,eldorado_nf,pets,Dogs must be physically restrained on a leash under six feet for the whole visit -- not merely under voice control.,"Eldorado NF states this as a forest-wide requirement, and it is stricter than the ""under control at all times"" wording on the Desolation permit page. Bag dog waste and put it in a trash receptacle or take it home; in wilderness, bury it in a cat hole off trail and away from water. Off-leash dogs threaten wildlife and endanger or inconvenience other visitors.",,https://www.fs.usda.gov/r05/eldorado/about-area/faqs,2026-06-12,2026-09-12,none-2026-09-12-01; none-2026-09-12-02; none-2026-09-12-03; none-2026-09-12-04,Eldorado National Forest
eldorado-firearm-carry,agency,eldorado_nf,weapons,"A firearm may be carried only if it is visible and unloaded, unless you are actively hunting. California state firearm law applies.",This governs carrying; discharge is restricted separately (Desolation bars any discharge within 150 yards of a campsite or occupied area). Concealed or loaded carry outside active hunting is not permitted here.,,https://www.fs.usda.gov/r05/eldorado/about-area/faqs,2026-06-12,2026-09-12,none-2026-09-12-01; none-2026-09-12-02; none-2026-09-12-03; none-2026-09-12-04,Eldorado National Forest
eldorado-drones,agency,eldorado_nf,aircraft,"Drones are allowed on the forest but NOT over congressionally designated wilderness, which includes Desolation and Mokelumne.","Since almost every objective in this project lies inside designated wilderness, the practical answer for a summit flight is no. Drones are also barred wherever a Temporary Flight Restriction is in place, which is routine over active wildfires -- check before flying in fire season.",,https://www.fs.usda.gov/r05/eldorado/about-area/faqs,2026-06-12,2026-09-12,none-2026-09-12-01; none-2026-09-12-02; none-2026-09-12-03; none-2026-09-12-04,Eldorado National Forest
mokelumne-campfire-ban,wilderness,Mokelumne Wilderness,fire,"Campfires are prohibited everywhere in Mokelumne Wilderness, year-round. Camp stoves and lanterns are allowed.","The stated reason is ecological, not just fire risk: dead and downed wood is critical habitat for alpine species, and its decomposition drives the nutrient value of the soils high-altitude vegetation depends on. So Eldorado NF's forest-wide allowance on gathering downed firewood does not translate into a fire here. A stove or lantern still needs the statewide California Campfire Permit, and the permit instructions add a specific requirement: it must be carried to use an on/off switch style gas camp stove.",Forest Order 03-23-10,https://www.fs.usda.gov/sites/nfs/files/r05/eldorado/publication/rog_wild_moke_regs%202025.pdf,2025,2026-09-12,mokelumne_free-2026-09-12-01; mokelumne_free-2026-09-12-02,Mokelumne Wilderness
mokelumne-group-size,wilderness,Mokelumne Wilderness,group_size,Maximum group size is 8 people overnight and 12 for a day hike.,"The day-use figure is higher than the overnight one, which is easy to get backwards. Groups may not camp or travel within one mile of a related group -- splitting a large party does not evade the limit. If your group is too large, the forest asks you to reduce it, split to different areas, or choose somewhere outside the wilderness. Where multiple groups do hike the same trail, stagger start times by thirty minutes.",,https://www.fs.usda.gov/sites/nfs/files/r05/eldorado/publication/rog_wild_moke_regs%202025.pdf,2025,2026-09-12,mokelumne_free-2026-09-12-01; mokelumne_free-2026-09-12-02,Mokelumne Wilderness
mokelumne-camp-setback,wilderness,Mokelumne Wilderness,camping,"Camp at least 100 ft from any stream, lake or designated trail; the permit page asks for 200 ft from water.","The two official sources differ on the water setback: the 2025 regulations sheet says 100 ft, the permit page (last updated 2026-03-03) says at least 200 ft. Use 200 ft and you satisfy both. Three named places are stricter still: no camping within 300 ft of Emigrant Lake or within a quarter mile of Frog Lake, both to let shorelines recover, and no overnight backpacking around Woods Lake at all, where camping is confined to the developed campground. The Emigrant and Frog Lake limits lift only when there is snow on the ground, and then only on a durable surface -- do not dig down to bare earth. Stay on existing tent pads.",,https://www.fs.usda.gov/r05/eldorado/wilderness/mokelumne-wilderness-general-overnight-permits,2025,2026-09-12,mokelumne_free-2026-09-12-01; mokelumne_free-2026-09-12-02,Mokelumne Wilderness
mokelumne-food-storage,wilderness,Mokelumne Wilderness,food_storage,"Bear canisters are RECOMMENDED, not required -- counterbalance hanging is an accepted alternative.","This is a real difference from neighbouring Desolation, where a hard-sided canister is mandatory and non-compliance carries fines up to $5,000. Do not carry a Desolation habit into Mokelumne as an assumption in either direction. Canisters are available for free loan at the Amador Ranger District office. Bears are active at higher elevations than in the past because of poorly stored food, and are drawn to toothpaste and deodorant as much as to food. Empty your pack of anything scented, and leave pack and tent zippers open so curious animals can investigate without tearing the fabric.",,https://www.fs.usda.gov/sites/nfs/files/r05/eldorado/publication/rog_wild_moke_regs%202025.pdf,2025,2026-09-12,mokelumne_free-2026-09-12-01; mokelumne_free-2026-09-12-02,Mokelumne Wilderness
mokelumne-mechanized,wilderness,Mokelumne Wilderness,aircraft,"Mechanized and motorized equipment is prohibited, including bicycles, strollers and game carts.","The full list given is bicycles, vehicles, hang gliders, over-snow vehicles including snowmobiles, strollers, chainsaws and game carts. Strollers and game carts surprise people: the rule is about mechanical transport, not about engines, so a wheeled device with no motor is still barred.",,https://www.fs.usda.gov/sites/nfs/files/r05/eldorado/publication/rog_wild_moke_regs%202025.pdf,2025,2026-09-12,mokelumne_free-2026-09-12-01; mokelumne_free-2026-09-12-02,Mokelumne Wilderness
mokelumne-waste,wilderness,Mokelumne Wilderness,waste,"Bury human and dog waste 6-8 inches deep, at least 200 ft from water, campsites and trails. Pack out toilet paper.","When there is snow on the ground, pack out both the toilet paper and the waste -- burying in snow does not work. Leaving refuse, debris or litter is prohibited outright; pack out everything you pack in. Digging animals will expose anything buried shallow.",,https://www.fs.usda.gov/sites/nfs/files/r05/eldorado/publication/rog_wild_moke_regs%202025.pdf,2025,2026-09-12,mokelumne_free-2026-09-12-01; mokelumne_free-2026-09-12-02,Mokelumne Wilderness
mokelumne-water-contaminants,wilderness,Mokelumne Wilderness,water,"Treat all water by boiling or filtering. No soap of any kind in any water source, biodegradable included.","Giardia lamblia and Cryptosporidium are present even in remote lakes and streams. Beyond soap, the regulations name insect repellent and sunscreen as contaminants -- rinse them off away from the water before swimming, and wash cookware well away from any source.",,https://www.fs.usda.gov/sites/nfs/files/r05/eldorado/publication/rog_wild_moke_regs%202025.pdf,2025,2026-09-12,mokelumne_free-2026-09-12-01; mokelumne_free-2026-09-12-02,Mokelumne Wilderness
mokelumne-natural-features,wilderness,Mokelumne Wilderness,natural_features,Damaging or removing any natural OR HISTORIC feature is prohibited.,"The historic clause is broader than the equivalent Desolation rule, which covers natural features only. Mining-era and emigrant-trail relics are protected here. Leave wildflowers, and avoid trampling lakeshore vegetation.",,https://www.fs.usda.gov/sites/nfs/files/r05/eldorado/publication/rog_wild_moke_regs%202025.pdf,2025,2026-09-12,mokelumne_free-2026-09-12-01; mokelumne_free-2026-09-12-02,Mokelumne Wilderness
mokelumne-stock,wilderness,Mokelumne Wilderness,stock,"Do not hitch, tether or hobble stock within 200 ft of water or 100 ft of a campsite, and never tie directly to trees.","Tying directly to a tree is allowed only briefly while loading, unloading, or resting on the move. Carry weed-free supplemental or processed feed such as alfalfa pellets or crimped oats. In the Mokelumne Canyon and below Telephone Gulch in Lower Summit City Canyon, overnight camping with stock is restricted to named corridors: in the Munson Meadow / Camp Irene / Lake Valley corridor only Camp Irene, one stock group at a time; in Summit City Canyon from Telephone Gulch to where the maintained trail crosses Summit City Creek; and from Hermit Valley trailhead to roughly half a mile below Deer Creek. Two nights maximum, four animals per group. In the Round Top Special Interest Area stock must stay on trails and no grazing is permitted, to protect the botanical values it was designated for.",,https://www.fs.usda.gov/sites/nfs/files/r05/eldorado/publication/rog_wild_moke_regs%202025.pdf,2025,2026-09-12,mokelumne_free-2026-09-12-01; mokelumne_free-2026-09-12-02,Mokelumne Wilderness
mokelumne-dogs,wilderness,Mokelumne Wilderness,pets,Dogs must be physically restrained on a leash no longer than six feet for the whole visit.,"Three Eldorado NF documents state this at three different scopes, broadening over time: the 2025 regulations sheet applies it to the Carson Pass Management Area, the 2025 permit instructions to the Mokelumne Wilderness and the CPMA, and the forest's 2026 FAQ to the forest generally. The CPMA requirement is certain in all three. Owners are responsible for their pets and for packing out or burying dog waste. The forest suggests asking at the Carson Pass Information Station or Amador District office for areas better suited to dogs than the CPMA.",,https://www.fs.usda.gov/sites/nfs/files/r05/eldorado/publication/2025%20Moke%20Permit%20Instructions%20Summer_0.pdf,2025,2026-09-12,mokelumne_free-2026-09-12-01; mokelumne_free-2026-09-12-02,Mokelumne Wilderness
mokelumne-hunting-fishing,wilderness,Mokelumne Wilderness,fishing,"Hunting and fishing are both allowed, in the wilderness included, under California state law.","Seasons, limits and licensing are set by the California Department of Fish and Wildlife, not by the forest, and licences come from CDFW online or through a licence agent. Salt Springs State Game Refuge is closed to hunting. A wilderness permit is not a hunting or fishing licence.",,https://www.fs.usda.gov/sites/nfs/files/r05/eldorado/publication/2025%20Moke%20Permit%20Instructions%20Summer_0.pdf,2025,2026-09-12,mokelumne_free-2026-09-12-01; mokelumne_free-2026-09-12-02,Mokelumne Wilderness
hoover-group-size,permit_group,hoover,group_size,"Maximum group size is 15 people and 25 stock -- except the Sawtooth Ridge Zone, which caps at 8 people and allows no stock.","The Sawtooth Ridge Zone covers the Matterhorn, Whorl and Virginia Peak area reached from the Robinson Creek / Twin Lakes trailhead. The stricter cap follows you there even on a permit issued for the wider wilderness, and it still applies when a Hoover permit is honoured for continuous travel into a neighbouring unit.",,https://www.fs.usda.gov/r04/humboldt-toiyabe/permits/hoover-wilderness-permits,,2026-09-12,hoover-2026-07-22-01; hoover-2026-07-22-02,
sierra-nf-stock,permit_group,sierra_nf,stock,Maximum 25 head of stock.,,,https://www.recreation.gov/permits/445858,,2026-09-12,sierra_nf-2026-07-22-01; sierra_nf-2026-07-22-02,
stanislaus-campfire,agency,stanislaus_nf,fire,"Campfires are banned above 9,000 ft and within half a mile of Emigrant Lake, whatever permit you hold.",Separate from the outright year-round ban in Mokelumne Wilderness next door. The statewide California Campfire Permit is still required for a stove wherever fires themselves are barred.,,https://www.fs.usda.gov/r05/stanislaus/passes-permits/recreation,,2026-09-12,stanislaus_free-2026-07-22-01; stanislaus_free-2026-07-23-01,Stanislaus National Forest
stanislaus-group-size,agency,stanislaus_nf,group_size,"Maximum group size is 15 people, day or overnight, with 25 stock; groups must stay a mile apart.",Applies in Emigrant and Carson-Iceberg Wildernesses.,,https://www.fs.usda.gov/r05/stanislaus/passes-permits/recreation,,2026-09-12,stanislaus_free-2026-07-22-01; stanislaus_free-2026-07-23-01,Stanislaus National Forest
stanislaus-camp-setback,agency,stanislaus_nf,camping,"Camping is prohibited within 100 ft of lakes, streams and trails.",,,https://www.fs.usda.gov/r05/stanislaus/passes-permits/recreation,,2026-09-12,stanislaus_free-2026-07-22-01; stanislaus_free-2026-07-23-01,Stanislaus National Forest
stanislaus-food-storage,agency,stanislaus_nf,food_storage,Bear canisters are NOT required in these Stanislaus wildernesses.,"Stated as a non-requirement rather than left silent, because silence reads as unknown and the answer differs sharply nearby: Yosemite requires canisters, and Desolation requires a hard-sided one on pain of a $5,000 fine. Carrying one anyway is still sensible where bears are active.",,https://www.fs.usda.gov/r05/stanislaus/passes-permits/recreation,,2026-09-12,stanislaus_free-2026-07-22-01; stanislaus_free-2026-07-23-01,Stanislaus National Forest
gtw-campfire-restriction,wilderness,Golden Trout Wilderness,fire,Campfires may be prohibited for dispersed camping depending on current fire danger.,"Conditional rather than fixed, so check the current restriction before planning on a fire; a stove needs the statewide California Campfire Permit either way.",,https://www.fs.usda.gov/r05/sequoia/recreation/hiking/golden-trout-wilderness,,2026-09-12,gtw_free-2026-07-22-01; gtw_free-2026-07-23-01; gtw_free-2026-07-23-02,Golden Trout Wilderness
stanislaus-stay-limit,agency,stanislaus_nf,camping,Maximum 14 consecutive days in the forest.,,,https://www.fs.usda.gov/r05/stanislaus/passes-permits/recreation,,2026-09-12,stanislaus_free-2026-07-22-01; stanislaus_free-2026-07-23-01,Stanislaus National Forest
ebrpd-pets-campground,agency,ebrpd,pets,"At campgrounds, dogs, cats or other animals must be attended and either leashed, or contained within a vehicle, tent or other type of physical confinement.","Confinement is an accepted alternative to a leash here, not a concession -- a leash-only reading of this rule would be wrong. The ordinance names cats directly ('dogs, cats, or other animals'), so this is not a dog rule being read across to another species. Two limits sit beside it that are NOT species-neutral, and the difference is the ordinance's, not this project's: the three-per-person cap in 801.2(d) is written for dogs, and the leash-optional allowance for undeveloped areas in 801.3 opens 'A dog may run at large', so a cat has no off-leash provision anywhere in the District. Whether the campground itself accepts a given animal is a separate question from this rule and is not answered here: the Ohlone Wilderness Trail backpack camps are reported to bar dogs outright, which this project has not confirmed against a source.",EBRPD Ordinance 38 s.801.2(i),https://www.ebparks.org/sites/default/files/Ord38-09052023FINAL.pdf,2023-09,2026-09-15,none-2026-09-15-02; none-2026-09-15-04,East Bay Regional Park District
ebrpd-pets-leash,agency,ebrpd,pets,"In developed areas -- which include every campground, picnic area, parking lot, public road and paved multi-use trail -- and within approximately 200 feet of any parking lot, trail head or staging area, a dog, cat or other animal must be securely leashed and under control.","The leash may be no longer than six feet. An extendable leash is permitted only if it is not extended beyond six feet in a leash-required area. An electronic collar is explicitly excluded from counting as a restraint: the ordinance defines leashed as tied or otherwise physically restrained, '(excluding electronic collars)'. The 200 ft radius is measured from the parking lot, trail head or staging area, or as posted, so it applies before you have started walking. Attachment C lists all campgrounds among the areas where this is required. Attachment C also states that on trails crossing or entering lands owned by others, dog owners comply with THAT agency's rules, naming East Bay Municipal Utility District land, San Francisco Public Utility land and Mount Diablo State Park. This is not a formality at Anthony Chabot: the Chabot-to-Garin Regional Trail crosses onto EBMUD watershed land, where a separate trail use permit is required (permit_group ebmud_trail) and EBMUD's rules govern, not these.","EBRPD Ordinance 38 s.801.2, 801.2(a), (e), (f), (g)",https://www.ebparks.org/sites/default/files/Ord38-09052023FINAL.pdf,2023-09,2026-09-15,none-2026-09-15-02; none-2026-09-15-04; ebmud_trail-2026-09-15-01,East Bay Regional Park District
ebrpd-pets-prohibited-areas,agency,ebrpd,pets,"No dog, cat or other animal is permitted -- even securely leashed -- in any swimming pool, bathing beach, designated nature study area, wetland or marsh area, or golf course.","Del Valle Beaches/Swim Area is named in Attachment B, which matters directly: Del Valle is this project's East Bay trailhead and its only drive-in campground. Round Valley Regional Preserve is prohibited outright as a wildlife protection area for listed species at risk, as is the Tilden Botanical Garden and Nature Area. Service animals trained to assist disabled persons, and whose presence is reasonably necessary, are exempt. A tension worth knowing rather than resolving here: section 801.1 bars 'dog, cat, or other animal', while the attachment enumerating the places is headed 'Specific Parks or Areas of Parks Where Dogs Are Prohibited'. The operative sentence is the broader one. EBRPD's booking system draws a line the ordinance does not spell out: EMOTIONAL SUPPORT ANIMALS ARE NOT SERVICE ANIMALS for this exemption. It states that dogs, including emotional support animals, are barred from the swim beach, swim area, select trails and cabins, while service animals with specialized training are permitted in all locations. Someone travelling with an ESA is covered by the general pet rules, not by the exemption.",EBRPD Ordinance 38 s.801.1 and Attachment B,https://www.ebparks.org/sites/default/files/Ord38-09052023FINAL.pdf,2023-09,2026-09-15,none-2026-09-15-02; none-2026-09-15-04; none-2026-09-15-15,East Bay Regional Park District
ebrpd-pets-unattended,agency,ebrpd,pets,"No dog, cat or other animal may be left unattended at any parkland unless it is contained.","District-wide, not a campground rule -- it applies to a car in a trailhead parking lot as much as to a campsite. Abandoning an animal is separately prohibited, and the ordinance names cats in that rule too: an abandoned animal is live-trapped and relocated or turned over to Animal Control. Feeding feral or wild animals, which the ordinance states includes cats, is prohibited at all times.","EBRPD Ordinance 38 s.801.2(h), 802, 803",https://www.ebparks.org/sites/default/files/Ord38-09052023FINAL.pdf,2023-09,2026-09-15,none-2026-09-15-02; none-2026-09-15-04,East Bay Regional Park District
ebrpd-waste-pet,agency,ebrpd,waste,Any person bringing a dog onto park property must immediately remove its excrement and place it in a garbage can or carry it out.,"Written for dogs specifically. The ordinance states no equivalent duty for other animals, which is an absence in the source rather than permission -- pack it out on the same terms.",EBRPD Ordinance 38 s.801.10,https://www.ebparks.org/sites/default/files/Ord38-09052023FINAL.pdf,2023-09,2026-09-15,none-2026-09-15-02; none-2026-09-15-04,East Bay Regional Park District
ebrpd-group-size-campsite,agency,ebrpd,group_size,Maximum 8 occupants per family campground site.,"A per-site cap, distinct from a per-permit or per-party limit. Groups larger than this are directed to group campsites, which have their own minimums and maximums.",EBRPD Ordinance 38 s.400.3(a),https://www.ebparks.org/sites/default/files/Ord38-09052023FINAL.pdf,2023-09,2026-09-15,none-2026-09-15-03; none-2026-09-15-04,East Bay Regional Park District
ebrpd-camping-stay-limit,agency,ebrpd,camping,"Camping is allowed only in designated areas and only with a valid District permit. Stay is limited to 15 consecutive days per park, or 30 total days per year, with a two-day minimum break after the first 15-day visit.","'Camp', 'camping', 'campsite' and 'campground' are defined to cover all types of camping -- traditional tent, RV, cabin and walk-in sites alike -- so neither the stay limit nor the occupancy cap can be read as applying to only one style. All persons at a campsite may be removed for a violation of state law, this ordinance or campground rules, and for 15 days afterwards the person removed may not reserve or occupy any campsite in the District, with no refund of unused camping, vehicle or other fees.","EBRPD Ordinance 38 s.400.1, 400.3(b), 400.5, 400.6",https://www.ebparks.org/sites/default/files/Ord38-09052023FINAL.pdf,2023-09,2026-09-15,none-2026-09-15-03; none-2026-09-15-04,East Bay Regional Park District
ebrpd-fire,agency,ebrpd,fire,"Open outdoor fires are allowed only in the facilities provided and designated for them, and no fire may be left unattended. Personal gas or propane camp stoves, portable barbecues and hibachis are permitted, but not on beaches or anywhere posted 'No BBQ'.","This is the local restriction that sits on top of the statewide California Campfire Permit: holding the permit does not make a fire lawful here. A personal appliance must be placed where it will not scorch lawns or table tops and at least 30 feet from flammable material such as grass, weeds, wood chips, brush or buildings, and burning fuel must be thoroughly extinguished before disposal in an existing fireplace, fire pit or grill -- never in a garbage can. Smoking is prohibited district-wide, vapor devices included; that is a standing ban, not a fire-season one. During declared fire season, extreme conditions may eliminate all open flames for any purpose, or close the park.","EBRPD Ordinance 38 s.404, 404.1, 404.2, 404.3",https://www.ebparks.org/sites/default/files/Ord38-09052023FINAL.pdf,2023-09,2026-09-15,none-2026-09-15-03; none-2026-09-15-04,East Bay Regional Park District
